
running dopri5.f test
step(A) =    1, err =  1.296464663661232E-04, h_new =  2.851498799828624E-04, n_yes =   0, n_no =   0, h*lambda =  0.000000000000000E+00
step(A) =  198, err =  5.332864252191875E-01, h_new =  2.626281076839034E-02, n_yes =   0, n_no =   0, h*lambda =  0.000000000000000E+00
step(R) =  199, err =  1.928482660204861E+00, h_new =  2.113961328789445E-02
step(A) =  200, err =  5.362725593442063E-01, h_new =  2.062635182335257E-02, n_yes =   0, n_no =   0, h*lambda =  0.000000000000000E+00
step(R) =  201, err =  1.865738428635650E+00, h_new =  1.669630240131359E-02
step(A) =  202, err =  5.393832629986595E-01, h_new =  1.627854802793259E-02, n_yes =   0, n_no =   0, h*lambda =  0.000000000000000E+00
step(R) =  203, err =  1.797474072634026E+00, h_new =  1.326067180870038E-02
step(A) =  204, err =  5.424828782426873E-01, h_new =  1.291927993931127E-02, n_yes =   0, n_no =   0, h*lambda =  0.000000000000000E+00
step(R) =  205, err =  1.730073591173358E+00, h_new =  1.059277725784680E-02
step(A) =  206, err =  5.454617690202925E-01, h_new =  1.031282996257347E-02, n_yes =   0, n_no =   0, h*lambda =  0.000000000000000E+00
step(R) =  207, err =  1.664923798899046E+00, h_new =  8.511053592694497E-03
step(A) =  208, err =  5.482938020381437E-01, h_new =  8.280644498694249E-03, n_yes =   0, n_no =   0, h*lambda =  0.000000000000000E+00
step(R) =  209, err =  1.602073750584690E+00, h_new =  6.878767389627737E-03
step(A) =  210, err =  5.509805552049187E-01, h_new =  6.688373235754933E-03, n_yes =   0, n_no =   0, h*lambda =  0.000000000000000E+00
step(R) =  211, err =  1.541158537617598E+00, h_new =  5.592795838435351E-03
step(A) =  212, err =  5.535289757756192E-01, h_new =  5.434793722575373E-03, n_yes =   0, n_no =   0, h*lambda =  0.000000000000000E+00
step(R) =  213, err =  1.481755833629917E+00, h_new =  4.575025770894886E-03
step(A) =  214, err =  5.559385798308932E-01, h_new =  4.443315077398653E-03, n_yes =   0, n_no =   0, h*lambda =  0.000000000000000E+00
step(R) =  215, err =  1.423596450050294E+00, h_new =  3.765943910507906E-03
step(A) =  216, err =  5.581900271326309E-01, h_new =  3.655648890887928E-03, n_yes =   0, n_no =   0, h*lambda =  0.000000000000000E+00
step(R) =  217, err =  1.366767815180639E+00, h_new =  3.119887111743048E-03
step(A) =  218, err =  5.602305988282061E-01, h_new =  3.027124702121574E-03, n_yes =   0, n_no =   0, h*lambda =  0.000000000000000E+00
step(R) =  219, err =  1.311974808773229E+00, h_new =  2.601509925103399E-03
step(A) =  220, err =  5.619561725237517E-01, h_new =  2.523209166880239E-03, n_yes =   0, n_no =   0, h*lambda =  0.000000000000000E+00
step(R) =  221, err =  1.260773847375036E+00, h_new =  2.183169426012133E-03
step(A) =  222, err =  5.632011165317145E-01, h_new =  2.116923927393091E-03, n_yes =   0, n_no =   0, h*lambda =  0.000000000000000E+00
step(R) =  223, err =  1.215277953433804E+00, h_new =  1.843117004348746E-03
step(A) =  224, err =  5.637755042601063E-01, h_new =  1.787038467876647E-03, n_yes =   0, n_no =   0, h*lambda =  0.000000000000000E+00
step(R) =  225, err =  1.175475076630793E+00, h_new =  1.564732591135811E-03
step(A) =  226, err =  5.637942230420033E-01, h_new =  1.517177454006904E-03, n_yes =   0, n_no =   0, h*lambda =  0.000000000000000E+00
step(R) =  227, err =  1.130987496530358E+00, h_new =  1.337183666367012E-03
step(A) =  228, err =  5.636537656218453E-01, h_new =  1.296600805892454E-03, n_yes =   0, n_no =   0, h*lambda =  0.000000000000000E+00
step(R) =  229, err =  1.078062374553468E+00, h_new =  1.152124297021162E-03
step(A) =  230, err =  5.637827543658609E-01, h_new =  1.117103307490210E-03, n_yes =   0, n_no =   0, h*lambda =  0.000000000000000E+00
step(R) =  231, err =  1.008062079186352E+00, h_new =  1.004021493082412E-03
step(A) =  232, err =  5.641344706332592E-01, h_new =  9.734080699415192E-04, n_yes =   0, n_no =   0, h*lambda =  0.000000000000000E+00
step(A) =  233, err =  9.272491170234880E-01, h_new =  8.673000361665458E-04, n_yes =   0, n_no =   0, h*lambda =  0.000000000000000E+00
step(A) =  234, err =  9.417029763814300E-01, h_new =  7.862023918916765E-04, n_yes =   0, n_no =   0, h*lambda =  0.000000000000000E+00
step(A) =  235, err =  9.860534181238052E-01, h_new =  7.075715339126294E-04, n_yes =   0, n_no =   0, h*lambda =  0.000000000000000E+00
step(A) =  236, err =  9.598396100935189E-01, h_new =  6.409071345978661E-04, n_yes =   0, n_no =   0, h*lambda =  0.000000000000000E+00
step(A) =  237, err =  8.850310983935529E-01, h_new =  5.879530018460564E-04, n_yes =   0, n_no =   0, h*lambda =  0.000000000000000E+00
step(A) =  238, err =  1.820001853220369E-01, h_new =  5.258587607119909E-04, n_yes =   0, n_no =   0, h*lambda =  0.000000000000000E+00
DoPri5: Dormand-Prince method (explicit, order 5(4), embedded)
Number of function evaluations   = 1430
Number of performed steps        = 238
Number of accepted steps         = 217
Number of rejected steps         = 21
y =  9.940021704030663E-01  9.040891036151961E-06  1.459758305600828E-03 -2.001245515834718E+00
h =  5.258587607119909E-04
